,FileName,Concentration,Probe,Temp,Tip radius_mean,Tip radius_std,ROI,InterphaseThickness,ForceSetpoint,group,Link,Farfieldcontactradius(Schwarz),Point,Z Rate,RelativeInterphaseThickness,Depth,calc_depth,k,a_hat,d_hat,thermal Q,f,k,
144,0.0_HQ300_80_75_01,0,HQ300,80,26,3,700,0,75,100,0.0_HQ300_80_75_01,44.56065951,128,250,0,57.26821899,46.76192804,26,2.538587336,3.842586655,,,,
145,0.0_HQ300_80_100_01,0,HQ300,80,26,3,700,0,100,100,0.0_HQ300_80_100_01,47.96819484,128,250,0,68.18565369,54.76771556,26,2.577393921,4.021309092,,,,
146,0.0_HQ300_80_125_01,0,HQ300,80,26,3,700,0,125,100,0.0_HQ300_80_125_01,49.87307899,128,250,0,75.3796463,59.89754636,26,2.61602754,4.202374343,,,,
147,0.0_HQ300_80_150_01,0,HQ300,80,26,3,700,0,150,100,0.0_HQ300_80_150_01,49.72230997,128,250,0,78.16445923,62.68722612,26,2.760484895,4.907106559,,,,
148,2.5_HQ300_80_50_01,2.5,HQ300,80,28,3,700,50,50,100,2.5_HQ300_80_50_01,48.46097039,128,250,1.031758126,58.99128723,54.06330219,26,2.947359721,5.883426888,,,,
149,2.5_HQ300_80_75_01,2.5,HQ300,80,28,3,700,50,75,100,2.5_HQ300_80_75_01,51.6892337,128,250,0.967319428,52.9923439,58.49353059,26,2.520993999,3.762603257,,,,
150,2.5_HQ300_80_100_01,2.5,HQ300,80,28,3,700,50,100,100,2.5_HQ300_80_100_01,50.94769288,128,250,0.981398709,60.78439331,59.96844824,26,2.655589098,4.391031337,,,,
151,2.5_HQ300_80_125_01,2.5,HQ300,80,28,3,700,50,125,100,2.5_HQ300_80_125_01,52.1136521,128,250,0.95944149,66.83572388,66.06408738,26,2.823184548,5.226561211,,,,
152,2.5_HQ300_80_150_01,2.5,HQ300,80,28,3,700,50,150,100,2.5_HQ300_80_150_01,54.55407458,128,250,0.916521825,74.73930359,73.11881728,26,2.8716248,5.478980153,,,,
153,5.0_HQ300_80_50_01,5,HQ300,80,31,3,700,150,50,100,5.0_HQ300_80_50_01,50.25191238,128,250,1.989974018,57.90926361,49.32179943,26,2.514353504,3.732583134,,,,
154,5.0_HQ300_80_75_01,5,HQ300,80,31,3,700,150,75,100,5.0_HQ300_80_75_01,59.98292765,128,250,1.667141034,83.71356201,82.21759457,26,3.574123062,9.687124732,,,,
155,5.0_HQ300_80_100_01,5,HQ300,80,31,3,700,150,100,100,5.0_HQ300_80_100_01,64.12229334,128,250,1.559520017,94.0687027,93.88465237,26,3.549041061,9.519313168,,,,
156,5.0_HQ300_80_125_01,5,HQ300,80,31,3,700,150,125,100,5.0_HQ300_80_125_01,71.62993582,128,250,1.396064353,106.2160187,107.1320488,26,3.095428604,6.708617804,,,,
157,5.0_HQ300_80_150_01,5,HQ300,80,31,3,700,150,150,100,5.0_HQ300_80_150_01,76.34371236,128,250,1.309865566,118.2466507,119.0927474,26,3.015240572,6.256073208,,,,
158,10.0_HQ300_80_75_03,10,HQ300,80,15,3,3000,1000,75,100,10.0_HQ300_80_75_03,47.81049712,128,250,20.91590885,74.57492065,58.46905028,26,2.055004397,1.882100584,,,,
159,10.0_HQ300_80_75_01,10,HQ300,80,15,3,3000,1000,75,100,10.0_HQ300_80_75_01,47.81049712,128,250,20.91590885,74.57492065,58.46905028,26,2.055004397,1.882100584,,,,
160,10.0_HQ30030_80_75_01,10,HQ30030,80,40,3,3000,1000,75,100,10.0_HQ30030_80_75_01,68.21846849,128,250,14.65878701,78.73220062,60.47645645,40,2.321714842,2.902139643,,,,
161,10.0_NCH_80_75_01,10,NCH,80,300,10,3000,1000,75,100,10.0_NCH_80_75_01,171.2725925,128,250,5.838645784,59.59629822,48.99525786,40,2.337340008,2.966579316,,,,
162,2.5_HQ300_80_75_02,2.5,HQ300,80,15,3,700,50,75,100,2.5_HQ300_80_75_02,37.90547149,128,250,1.319070784,59.05709839,49.92174835,26,2.310141135,2.854741515,,,,
163,2.5_HQ30030_80_75_02,2.5,HQ30030,80,40,3,700,50,75,100,2.5_HQ30030_80_75_02,59.07851043,128,250,0.846331426,65.00637054,50.97022196,40,2.527582749,3.792481058,,,,
163,2.5_HQ30030_80_75_03,2.5,HQ30030,80,40,3,700,50,75,100,2.5_HQ30030_80_75_03,59.31890126,128,250,0.842901654,65.61103821,52.20996703,40,2.551422437,3.901348286,,,,
164,2.5_NCH_80_75_02,2.5,NCH,80,300,10,700,50,75,100,2.5_NCH_80_75_02,152.5681022,128,250,0.327722501,43.12229538,34.97228881,40,2.318064791,2.887160893,,,,
165,10.0_HQ300_80_75_02,10,HQ300,80,15,3,1500,500,75,100,10.0_HQ300_80_75_02,50.83958597,128,250,9.834855861,79.56304169,98.19003672,26,2.440535524,3.405116872,,,,
166,10.0_HQ30030_80_75_02,10,HQ30030,80,40,3,1500,500,75,100,10.0_HQ30030_80_75_02,65.23597883,128,250,7.664482223,70.82559204,57.95734319,40,2.400178984,3.230942696,,,,
167,10.0_NCH_80_75_02,10,NCH,80,300,10,1500,500,75,100,10.0_NCH_80_75_02,215.8210418,128,250,2.316734253,68.81486511,61.95567455,40,2.210536978,2.458559962,,,,
168,0.0_HQ300_80_75_03,0,HQ300,80,15,3,700,0,75,100,0.0_HQ300_80_75_03,41.58485145,128,250,0,68.41192627,64.36999334,26,2.366286078,3.087319314,,,,
169,0.0_HQ30030_80_75_03,0,HQ30030,80,40,3,700,0,75,100,0.0_HQ30030_80_75_03,61.10195345,128,250,0,52.19057465,38.03660498,40,2.124777222,2.134326884,,,,
170,0.0_NCH_80_75_02,0,NCH,80,300,10,700,0,75,100,0.0_NCH_80_75_02,183.2693708,128,250,0,57.8827858,44.70904418,40,2.197246355,2.407287568,,,,
171,0.0_HQ300_80_75_02,0,HQ300,80,15,3,700,0,75,100,0.0_HQ300_80_75_02,37.61514678,128,250,0,58.04099274,48.58524835,26,2.332943014,2.948393491,,,,
172,0.0_HQ30030_80_75_02,0,HQ30030,80,40,3,700,0,75,100,0.0_HQ30030_80_75_02,61.87965798,128,250,0,54.05162048,38.05861687,40,2.119823872,2.116078083,,,,
172,0.0_HQ30030_80_75_04,0,HQ30030,80,40,3,800,0,75,100,0.0_HQ30030_80_75_04,61.91414685,128,250,0,54.28276825,38.01596645,40,2.120319994,2.117903506,,,,
